1,detect if there any trying to exploit,"(?:'|"")"
2,Detects common comment types,"(?:--[^\n]*$)|(?:\<!-|-->)|(?:[^*]\/\*|\*\/[^*])|(?:(?:[\W\d]#|--|{)$)|(?:\/{3,}.*$)|(?:<!\[\W)|(?:\]!>)"
1,Detects basic SQL authentication bypass attempts 2/3,"(?:(?:[;]+|(<[?%](?:php)?)).*(?:define|eval|file_get_contents|include|require|require_once|set|shell_exec|phpinfo|system|passthru|preg_\w+|execute)\s*[""(@])"
2,Finds html breaking injections including whitespace attacks,"(?:""[^""]*[^-]?>)|(?:[^\w\s]\s*\/>)|(?:>"")"
2,Detects JavaScript cookie stealing and redirection attempts,(?:[^:\s\w]+\s*[^\w\/](href|protocol|host|hostname|pathname|hash|port|cookie)[^\w])
2,Detects JavaScript object properties and methods,"([^*:\s\w,.\/?+-]\s*)?(?<![a-z]\s)(?<![a-z\/_@])(\s*return\s*)?(?:hash|name|href|navigateandfind|source|pathname|close|constructor|port|protocol|assign|replace|back|forward|document|ownerdocument|window|top|this|self|parent|frames|_?content|date|cookie|innerhtml|innertext|csstext+?|outerhtml|print|moveby|resizeto|createstylesheet|stylesheets)(?(1)[^\w%""]|(?:\s*[^@\/\s\w%.+\-]))"
1,Detects MySQL comment-/space-obfuscated injections and backtick termination,"(?:,.*[)\da-f""]""(?:"".*""|\Z|[^""]+))|(?:\Wselect.+\W*from)|((?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*\(\s*space\s*\()"
2,Detects very basic XSS probings 4,"(?:,\s*(?:alert|showmodaldialog|eval)\s*,)|(?::\s*eval\s*[^\s])|([^:\s\w,.\/?+-]\s*)?(?<![a-z\/_@])(\s*return\s*)?(?:(?:document\s*\.)?(?:.+\/)?(?:alert|eval|msgbox|showmod(?:al|eless)dialog|showhelp|prompt|write(?:ln)?|confirm|dialog|open))\s*(?:[^.a-z\s\-]|(?:\s*[^\s\w,.@\/+-]))|(?:java[\s\/]*\.[\s\/]*lang)|(?:\w\s*=\s*new\s+\w+)|(?:&\s*\w+\s*\)[^,])|(?:\+[\W\d]*new\s+\w+[\W\d]*\+)|(?:document\.\w)"
1,Detects classic SQL injection probings 2/2,"(?:""\s*\*.+(?:or|id)\W*""\d)|(?:\^"")|(?:^[\w\s""-]+(?<=and\s)(?<=or\s)(?<=xor\s)(?<=nand\s)(?<=not\s)(?<=\|\|)(?<=\&\&)\w+\()|(?:""[\s\d]*[^\w\s]+\W*\d\W*.*[""\d])|(?:""\s*[^\w\s?]+\s*[^\w\s]+\s*"")|(?:""\s*[^\w\s]+\s*[\W\d].*(?:#|--))|(?:"".*\*\s*\d)|(?:""\s*or\s[^\d]+[\w-]+.*\d)|(?:[()*<>%+-][\w-]+[^\w\s]+""[^,])"
1,"Detects MySQL comments, conditions and ch(a)r injections","(?:\)\s*when\s*\d+\s*then)|(?:""\s*(?:#|--|{))|(?:\/\*!\s?\d+)|(?:ch(?:a)?r\s*\(\s*\d)|(?:(?:(n?and|x?or|not)\s+|\|\||\&\&)\s*\w+\()"
1,Detects conditional SQL injection attempts,(?:[\s()]case\s*\()|(?:\)\s*like\s*\()|(?:having\s*[^\s]+\s*[^\w\s])|(?:if\s?\([\d\w]\s*[=<>~])
1,Detects classic SQL injection probings 1/2,"(?:""\s*or\s*""?\d)|(?:\\x(?:23|27|3d))|(?:^.?""$)|(?:(?:^[""\\]*(?:[\d""]+|[^""]+""))+\s*(?:n?and|x?or|not|\|\||\&\&)\s*[\w""[+&!@(),.-])|(?:[^\w\s]\w+\s*[|-]\s*""\s*\w)|(?:@\w+\s+(and|or)\s*[""\d]+)|(?:@[\w-]+\s(and|or)\s*[^\w\s])|(?:[^\w\s:]\s*\d\W+[^\w\s]\s*"".)|(?:\Winformation_schema|table_name\W)"
1,Detects basic SQL authentication bypass attempts 1/3,"(?:\d""\s+""\s+\d)|(?:^admin\s*""|(\/\*)+""+\s?(?:--|#|\/\*|{)?)|(?:""\s*or[\w\s-]+\s*[+<>=(),-]\s*[\d""])|(?:""\s*[^\w\s]?=\s*"")|(?:""\W*[+=]+\W*"")|(?:""\s*[!=|][\d\s!=+-]+.*[""(].*$)|(?:""\s*[!=|][\d\s!=]+.*\d+$)|(?:""\s*like\W+[\w""(])|(?:\sis\s*0\W)|(?:where\s[\s\w\.,-]+\s=)|(?:""[<>~]+"")"
1,Detects basic SQL authentication bypass attempts 3/3,"(?:in\s*\(+\s*select)|(?:(?:n?and|x?or|not |\|\||\&\&)\s+[\s\w+]+(?:regexp\s*\(|sounds\s+like\s*""|[=\d]+x))|(""\s*\d\s*(?:--|#))|(?:""[%&<>^=]+\d\s*(=|or))|(?:""\W+[\w+-]+\s*=\s*\d\W+"")|(?:""\s*is\s*\d.+""?\w)|(?:""\|?[\w-]{3,}[^\w\s.,]+"")|(?:""\s*is\s*[\d.]+\s*\W.*"")"
1,Detects concatenated basic SQL injection and SQLLFI attempts,"(?:[\d\W]\s+as\s*[""\w]+\s*from)|(?:^[\W\d]+\s*(?:union|select|create|rename|truncate|load|alter|delete|update|insert|desc))|(?:(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s+(?:(?:group_)concat|char|load_file)\s?\(?)|(?:end\s*\);)|(""\s+regexp\W)|(?:[\s(]load_file\s*\()"
1,Detects chained SQL injection attempts 1/2,"(?:@.+=\s*\(\s*select)|(?:\d+\s*or\s*\d+\s*[\-+])|(?:\/\w+;?\s+(?:having|and|or|select)\W)|(?:\d\s+group\s+by.+\()|(?:(?:;|#|--)\s*(?:drop|alter))|(?:(?:;|#|--)\s*(?:update|insert)\s*\w{2,})|(?:[^\w]SET\s*@\w+)|(?:(?:n?and|x?or|not |\|\||\&\&)[\s(]+\w+[\s)]*[!=+]+[\s\d]*[""=()])"
1,Detects chained SQL injection attempts 2/2,"(?:""\s+and\s*=\W)|(?:\(\s*select\s*\w+\s*\()|(?:\*\/from)|(?:\+\s*\d+\s*\+\s*@)|(?:\w""\s*(?:[-+=|@]+\s*)+[\d(])|(?:coalesce\s*\(|@@\w+\s*[^\w\s])|(?:\W!+""\w)|(?:"";\s*(?:if|while|begin))|(?:""[\s\d]+=\s*\d)|(?:order\s+by\s+if\w*\s*\()|(?:[\s(]+case\d*\W.+[tw]hen[\s(])"
1,Detects SQL benchmark and sleep injection attempts including conditional queries,(?:(select|;)\s+(?:benchmark|if|sleep)\s*?\(\s*\(?\s*\w+)
1,Detects MySQL UDF injection and other data/structure manipulation attempts,"(?:create\s+function\s+\w+\s+returns)|(?:;\s*(?:select|create|rename|truncate|load|alter|delete|update|insert|desc)\s*[\[(]?\w{2,})"
1,Detects MySQL charset switch and MSSQL DoS attempts,"(?:alter\s*\w+.*character\s+set\s+\w+)|("";\s*waitfor\s+time\s+"")|(?:"";.*:\s*goto)"
1,Detects MySQL and PostgreSQL stored procedure/function injections,(?:procedure\s+analyse\s*\()|(?:;\s*(declare|open)\s+[\w-]+)|(?:create\s+(procedure|function)\s*\w+\s*\(\s*\)\s*-)|(?:declare[^\w]+[@#]\s*\w+)|(exec\s*\(\s*@)
